,Questions,Category0,Category1,Category2
29,Which two states enclose Chesapeake Bay ?,LOCATION,LOC,state
30,What does the abbreviation AIDS stand for ?,ABBREVIATION,ABBR,exp
31,What does a spermologer collect ?,ENTITY,ENTY,other
32,How many points make up a perfect fivepin bowling score ?,NUMERIC,NUM,count
33,Which company that manufactures video-game hardware sells the `` super system '' ?,HUMAN,HUM,gr
34,How many Community Chest cards are there in Monopoly ?,NUMERIC,NUM,count
35,What do Mormons believe ?,DESCRIPTION,DESC,desc
36,When did the neanderthal man live ?,NUMERIC,NUM,date
37,In what religion was Isis the nature goddess ?,ENTITY,ENTY,religion
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOCATION,LOC,other
39,What relative of the racoon is sometimes known as the cat-bear ?,ENTITY,ENTY,animal
40,How can I register my website in Yahoo for free ?,DESCRIPTION,DESC,manner
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTITY,ENTY,other
42,How many people in the world speak French ?,NUMERIC,NUM,count
43,How many inches over six feet is the Venus de Milo ?,NUMERIC,NUM,count
44,How do they find or choose witnesses to an execution ?,DESCRIPTION,DESC,manner
45,What 1920s cowboy star rode Tony the Wonder Horse ?,HUMAN,HUM,ind
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTITY,ENTY,food
47,What ISPs exist in the Caribbean ?,HUMAN,HUM,gr
48,How do you ask a total stranger out on a date ?,DESCRIPTION,DESC,manner
49,What weapon is the mythological character Apollo most proficient with ?,ENTITY,ENTY,other
50,What country do the Galapagos Islands belong to ?,LOCATION,LOC,country
51,What is ethology ?,DESCRIPTION,DESC,def
52,Who was the prophet of the Muslim people ?,HUMAN,HUM,ind
53,Where did the term `` 86ed '' come from ?,DESCRIPTION,DESC,desc
54,Who is Snoopy 's arch-enemy ?,HUMAN,HUM,ind
55,What is the nature of learning ?,DESCRIPTION,DESC,def
56,What 's the only color Johnny Cash wears on stage ?,ENTITY,ENTY,color
57,What 's the term for a young fox ?,ENTITY,ENTY,termeq
58,What U.S. state lived under six flags ?,LOCATION,LOC,state
59,What is the Kashmir issue ?,DESCRIPTION,DESC,def
60,Where is the Loop ?,LOCATION,LOC,other
61,What does `` extended definition '' mean and how would one write a paper on it ?,DESCRIPTION,DESC,def
62,What country 's capital is Tirana ?,LOCATION,LOC,country
63,What is titanium ?,DESCRIPTION,DESC,def
64,Who do Herb and Tootsie live next door to ?,HUMAN,HUM,ind
65,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOCATION,LOC,city
66,What is a caldera ?,DESCRIPTION,DESC,def
67,Why do people get calluses ?,DESCRIPTION,DESC,reason
68,What are the names of the tourist attractions in Reims ?,LOCATION,LOC,other
69,What are Cushman and Wakefield known for ?,DESCRIPTION,DESC,reason
70,What body of water does the Danube River flow into ?,LOCATION,LOC,other
71,Who is the founder of Scientology ?,HUMAN,HUM,ind
72,What does the six-footed Musca domestica become when it enters a house ?,ENTITY,ENTY,other
73,What is the history of skateboarding ?,DESCRIPTION,DESC,desc
74,Who starred in Singing in the Rain and The Singing Nun ?,HUMAN,HUM,ind
75,How do I make fuel bricks from recycled newspaper ?,DESCRIPTION,DESC,manner
76,What 19th-century painter died in the Marquesas Islands ?,HUMAN,HUM,ind
77,The corpus callosum is in what part of the body ?,ENTITY,ENTY,body
78,How do I log on to home page at Headquarters U.S. European Command ?,DESCRIPTION,DESC,manner
79,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",LOCATION,LOC,country
80,What is Nebraska 's most valuable resource ?,ENTITY,ENTY,other
81,How many species of the Great White shark are there ?,NUMERIC,NUM,count
82,What is the origin of head lice ?,DESCRIPTION,DESC,desc
83,What is the nickname for the state of Mississippi ?,LOCATION,LOC,state
84,What was the first domesticated bird ?,ENTITY,ENTY,animal
85,How many villi are found in the small intestine ?,NUMERIC,NUM,count
86,What country did King Wenceslas rule ?,LOCATION,LOC,country
87,What is a fear of shadows ?,ENTITY,ENTY,dismed
88,Who were the five Marx brothers ?,HUMAN,HUM,ind
89,In which year was New Zealand excluded from the ANZUS alliance ?,NUMERIC,NUM,date
90,When did CNN begin broadcasting ?,NUMERIC,NUM,date
91,What causes the body to shiver in cold temperatures ?,DESCRIPTION,DESC,reason
92,What are bear and bull markets ?,DESCRIPTION,DESC,def
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTITY,ENTY,cremat
94,What is `` dew point '' ?,DESCRIPTION,DESC,def
95,What is the meaning of Jesus ?,DESCRIPTION,DESC,def
96,What company 's logo is a `` W '' in a circle ?,HUMAN,HUM,gr
97,What is the definition of a cascade ?,DESCRIPTION,DESC,def
98,When did Rococo painting and architecture flourish ?,NUMERIC,NUM,date
99,What country 's national passenger rail system is called Via ?,LOCATION,LOC,country
100,Who invented Make-up ?,HUMAN,HUM,ind
101,What is the origin of the word `` attic '' ?,DESCRIPTION,DESC,desc
102,What did Delilah do to Samson 's hair ?,DESCRIPTION,DESC,desc
103,What kind of animals were in the Paleozoic era ?,ENTITY,ENTY,animal
104,Which of the following was Rhodes Scholar ?,HUMAN,HUM,ind
105,Who comprised the now-defunct comic book team known as the Champions ?,HUMAN,HUM,ind
106,How do you make a paintball ?,DESCRIPTION,DESC,manner
107,What U.S. state is Fort Knox in ?,LOCATION,LOC,state
108,What is a female rabbit called ?,ENTITY,ENTY,animal
109,Where is the highest point in Japan ?,LOCATION,LOC,mount
110,Where do chihuahuas come from ?,DESCRIPTION,DESC,desc
111,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOCATION,LOC,other
112,What are the world 's four oceans ?,LOCATION,LOC,other
113,What 's the only work by Michelangelo that bears his signature ?,ENTITY,ENTY,cremat
114,What is the largest snake in the world ?,ENTITY,ENTY,animal
115,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,ENTITY,ENTY,cremat
116,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOCATION,LOC,other
117,How much money does a back injury lawsuit get ?,NUMERIC,NUM,money
118,What 's the common name for acetylsalicylic acid ?,ENTITY,ENTY,termeq
119,What does the Georgetown `` Hoya '' mean ?,DESCRIPTION,DESC,def
120,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,LOCATION,LOC,other
121,Which two products use a tiger as their symbol ?,ENTITY,ENTY,product
122,How is the election of a new Pope announced to the world ?,DESCRIPTION,DESC,manner
123,How long does it take for your blood to make one complete trip through the body ?,NUMERIC,NUM,period
124,How do chickens have baby chicks ?,DESCRIPTION,DESC,manner
125,What is the historical relationship of Catholic Church and bingo ?,DESCRIPTION,DESC,desc
126,How was the element calcium named ?,DESCRIPTION,DESC,manner
127,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,HUMAN,HUM,ind
128,What piano company claims its product is the `` Instrument of the immortals '' ?,HUMAN,HUM,gr
129,When did the Bounty mutiny take place ?,NUMERIC,NUM,date
130,What novel inspired the movie BladeRunner ?,ENTITY,ENTY,cremat
131,What is a transistor ?,DESCRIPTION,DESC,def
132,What is a film starring Jude Law ?,ENTITY,ENTY,cremat
133,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,ENTITY,ENTY,animal
134,What are the most common elements in the Earth 's crust ?,ENTITY,ENTY,substance
135,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUMERIC,NUM,money
136,What actress has received the most Oscar nominations ?,HUMAN,HUM,ind
137,What are equity securities ?,DESCRIPTION,DESC,def
138,What is gymnophobia ?,DESCRIPTION,DESC,def
139,How many years do fossils take to form ?,NUMERIC,NUM,count
140,Where is the Orinoco ?,LOCATION,LOC,other
141,What was the name of the `` Little Rascals '' dog ?,ENTITY,ENTY,animal
142,"What city boasts Penn 's Landing , on the banks of the Delaware river ?",LOCATION,LOC,city
143,What Broadway musical was inspired by Cervantes 's Don Quixote ?,ENTITY,ENTY,cremat
144,"What is the origin of the word , JJ .",DESCRIPTION,DESC,desc
145,How many hostages were killed in the Entebbe raid ?,NUMERIC,NUM,count
146,How you can raise your IQ ?,DESCRIPTION,DESC,manner
147,What does INRI stand for when used on Jesus ' cross ?,ABBREVIATION,ABBR,exp
148,Who produces Spumante ?,HUMAN,HUM,gr
149,Who earns their money the hard way ?,HUMAN,HUM,ind
150,Who founded the People 's Temple Commune ?,HUMAN,HUM,ind
151,What athlete makes the most money from sports merchandise sales ?,HUMAN,HUM,ind
152,How many bends are there in a standard paper clip ?,NUMERIC,NUM,count
153,Who discovered electricity ?,HUMAN,HUM,ind
154,What part of your body contains the corpus callosum ?,ENTITY,ENTY,body
155,Who was the first American in space ?,HUMAN,HUM,ind
156,What two South American countries do n't border Brazil ?,LOCATION,LOC,country
157,What album put The Beatles on the cover of Time in 1967 ?,ENTITY,ENTY,cremat
158,"What poem contains the line , `` grow old with me the best is yet to be '' .",ENTITY,ENTY,cremat
159,What is a dental root canal ?,DESCRIPTION,DESC,def
160,What war did the Wanna-Go-Home Riots occur after ?,ENTITY,ENTY,event
161,What is the busiest air travel season ?,NUMERIC,NUM,date
162,What 's the colored part of the eye called ?,ENTITY,ENTY,body
163,What are hook worms ?,DESCRIPTION,DESC,def
164,Where is the Rose Bowl played ?,LOCATION,LOC,other
165,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,HUMAN,HUM,gr
166,Who is the mayor of Marbella ?,HUMAN,HUM,ind
167,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",LOCATION,LOC,other
168,In what year did Thatcher become prime minister ?,NUMERIC,NUM,date
169,How many months does it take the moon to revolve around the Earth ?,NUMERIC,NUM,count
170,Where are the 49 steps ?,LOCATION,LOC,other
171,In what year was De Gaulle elected president of France ?,NUMERIC,NUM,date
172,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUMAN,HUM,ind
173,Who directed `` Jaws '' ?,HUMAN,HUM,ind
174,On what T.V. show could Tom Terrific be found ?,ENTITY,ENTY,cremat
175,What Indian tribe is F Troop perpetually doing battle with ?,HUMAN,HUM,gr
176,Where did Indian Pudding come from ?,DESCRIPTION,DESC,desc
177,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESCRIPTION,DESC,reason
178,How many colonies were involved in the American Revolution ?,NUMERIC,NUM,count
179,What is the name of the city that Maurizio Pellegrin lives in ?,LOCATION,LOC,city
180,Where can I find pictorial directions on how to build a very simple treehouse ?,LOCATION,LOC,other
181,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",ENTITY,ENTY,sport
182,What is the name of the managing director of Apricot Computer ?,HUMAN,HUM,ind
183,What is the occupation of Nicholas Cage ?,HUMAN,HUM,title
184,Why do horseshoes bring luck ?,DESCRIPTION,DESC,reason
185,"What is the 401 , K , plan ?",DESCRIPTION,DESC,def
186,What causes pneumonia ?,DESCRIPTION,DESC,reason
187,What are the three winter months in the southern hemisphere ?,NUMERIC,NUM,date
188,What does gringo mean ?,DESCRIPTION,DESC,def
189,What country contains Africa 's northernmost point ?,LOCATION,LOC,country
190,What therapy attempts to elicit the `` primal scream '' ?,ENTITY,ENTY,dismed
191,Where is the Kalahari desert ?,LOCATION,LOC,other
192,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUMAN,HUM,gr
193,What city is sometimes called Gotham ?,LOCATION,LOC,city
194,What dangles over the tongue from the palate ?,ENTITY,ENTY,body
195,Who created Dennis the Menace ?,HUMAN,HUM,ind
196,What dummy received an honorary degree from Northwestern University ?,HUMAN,HUM,ind
197,When was the first Wall Street Journal published ?,NUMERIC,NUM,date
198,What countries have the largest areas of forest ?,LOCATION,LOC,country
199,How do I start a web based business ?,DESCRIPTION,DESC,manner
200,Name Alvin 's brothers,HUMAN,HUM,ind
201,What is Eagle 's syndrome styloid process ?,DESCRIPTION,DESC,def
202,How did Jayne Mansfield die ?,DESCRIPTION,DESC,manner
203,When did the royal wedding of Prince Andrew and Fergie take place ?,NUMERIC,NUM,date
204,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,HUMAN,HUM,ind
205,What explorer was nicknamed Iberia 's Pilot ?,HUMAN,HUM,ind
206,CNN began broadcasting in what year ?,NUMERIC,NUM,date
207,What is a ball that hits the foul pole called ?,ENTITY,ENTY,termeq
208,What makes hamburgers taste like steakburgers ?,DESCRIPTION,DESC,reason
209,Which company created the Internet browser Mosaic ?,HUMAN,HUM,gr
210,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTITY,ENTY,event
211,What was the education system in the 1960 's ?,ENTITY,ENTY,other
212,What South American city has the world 's highest commercial landing field ?,LOCATION,LOC,city
213,How can I find out which cities have cable-modem access ?,DESCRIPTION,DESC,manner
214,What is Betsy Ross famous for ?,DESCRIPTION,DESC,reason
215,How many species of sharks are there ?,NUMERIC,NUM,count
216,What is `` snoogans '' ?,DESCRIPTION,DESC,def
217,How many people are there in the world ?,NUMERIC,NUM,count
218,What shrubs can be planted that will be safe from deer ?,ENTITY,ENTY,plant
219,What organization 's offices were broken into at Watergate in 1972 ?,HUMAN,HUM,gr
220,What is the design of the ship Titanic ?,DESCRIPTION,DESC,desc
221,What does S.O.S. stand for ?,ABBREVIATION,ABBR,exp
222,Name a technique widely used to detect birth defects ?,ENTITY,ENTY,techmeth
223,What is the daily requirement of folic acid for an expectant mother ?,DESCRIPTION,DESC,desc
224,What is the `` 7-minute cigarette '' ?,DESCRIPTION,DESC,def
225,What four forms does gold occur in ?,ENTITY,ENTY,other
226,What is the acreage of the Chappellet vineyard ?,NUMERIC,NUM,volsize
227,How do you correctly say the word ` qigong ' ?,DESCRIPTION,DESC,manner
228,When did beethoven die ?,NUMERIC,NUM,date
229,How much does a new railroad coal car cost ?,NUMERIC,NUM,money
230,What two European countries entered the War of American Independence against the British ?,LOCATION,LOC,country
231,What is the filmmakers collabrative ?,DESCRIPTION,DESC,def
232,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,HUMAN,HUM,ind
233,What caused Harry Houdini 's death ?,DESCRIPTION,DESC,reason
234,"Who was the mother of the man who would not be king , the duke of Windsor ?",HUMAN,HUM,ind
235,How many revolutions does a standard LP make in three minutes ?,NUMERIC,NUM,count
236,What is the name of the tallest mountain in the world ?,LOCATION,LOC,mount
237,Where can I find a review of Nightmare on Elm Street in a film journal ?,LOCATION,LOC,other
238,What 's the slowest Olympic swimming stroke ?,ENTITY,ENTY,techmeth
239,What was the name of the first Russian astronaut to do a spacewalk ?,HUMAN,HUM,ind
240,What disease is transmitted by the Anopheles mosquito ?,ENTITY,ENTY,dismed
241,What rum is so `` mixable '' it is a one-brand bar ?,ENTITY,ENTY,food
242,How many South American countries have the letter Z in their names ?,NUMERIC,NUM,count
243,What is the contents of proposition 98 ?,DESCRIPTION,DESC,def
244,Where was George Washington born ?,LOCATION,LOC,other
245,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",NUMERIC,NUM,count
246,Who wrote NN DT NNP NNP '' ?,HUMAN,HUM,ind
247,What is paracetamol ?,DESCRIPTION,DESC,def
248,What are the powers and weaknesses of Green Lantern 's ring ?,DESCRIPTION,DESC,desc
249,"Which mosquito 's bite draws blood , DT NN CC DT NN .",ENTITY,ENTY,animal
250,When was the first steel mill in the United States built ?,NUMERIC,NUM,date
251,What diminutive American female gymnast stole the show at the 1984 Olympics ?,HUMAN,HUM,ind
252,What is the origin of the name Katie ?,DESCRIPTION,DESC,desc
253,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",HUMAN,HUM,gr
254,When did the Berlin Wall go up ?,NUMERIC,NUM,date
255,Who is Terrence Malick ?,HUMAN,HUM,desc
256,What instrument is Ray Charles best known for playing ?,ENTITY,ENTY,instru
257,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",DESCRIPTION,DESC,def
258,What is the mascot for Notre Dame University ?,ENTITY,ENTY,other
259,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",LOCATION,LOC,other
260,When did Mount St. Helen last have a significant eruption ?,NUMERIC,NUM,date
261,CNN is the abbreviation for what ?,ABBREVIATION,ABBR,exp
262,When did World War I start ?,NUMERIC,NUM,date
263,How many feet are there in a fathom ?,NUMERIC,NUM,count
264,What is a Canada two-penny black ?,DESCRIPTION,DESC,def
265,What European city do Nicois live in ?,LOCATION,LOC,city
266,How can I find out what year a Beanie Baby was introduced ?,DESCRIPTION,DESC,manner
267,What is the classic definition of tragic hero ?,DESCRIPTION,DESC,def
268,To what does Microsoft 's Windows 3 owe its success ?,ENTITY,ENTY,other
269,Who was President of Afghanistan in 1994 ?,HUMAN,HUM,ind
270,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTITY,ENTY,techmeth
271,What did brontosauruses eat ?,ENTITY,ENTY,food
272,What color bottles do good Rhine wines come in ?,ENTITY,ENTY,color
273,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,HUMAN,HUM,ind
274,Who was the 16th President of the United States ?,HUMAN,HUM,ind
275,Who are the two sons of Ozzie and Harriet Nelson ?,HUMAN,HUM,ind
276,What is molybdenum ?,DESCRIPTION,DESC,def
277,When is Boxing Day ?,NUMERIC,NUM,date
278,What is the lowest level of the American judiciary ?,ENTITY,ENTY,other
279,When was the battle of the Somme fought ?,NUMERIC,NUM,date
280,How many people did Randy Craft kill ?,NUMERIC,NUM,count
281,What 's the official animal of Canada ?,ENTITY,ENTY,animal
282,When did Spielberg direct `` Jaws '' ?,NUMERIC,NUM,date
283,What is the size of the largest akita ?,NUMERIC,NUM,volsize
284,What animal has the biggest eyes ?,ENTITY,ENTY,animal
285,What is California 's capital ?,LOCATION,LOC,city
286,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,HUMAN,HUM,ind
287,Who was the founding member of the Pink Floyd band ?,HUMAN,HUM,ind
288,What European country is home to the beer-producing city of Budweis ?,LOCATION,LOC,country
289,How do I find the balance of my social security account ?,DESCRIPTION,DESC,manner
290,What is the history of Valentine 's Day cards ?,DESCRIPTION,DESC,desc
291,Where was Christopher Columbus born ?,LOCATION,LOC,other
292,What do Italians call Florence ?,ENTITY,ENTY,termeq
293,How do you get to the top of the Eiffel Tower ?,DESCRIPTION,DESC,manner
294,What does ` PSI ' stand for ?,ABBREVIATION,ABBR,exp
295,What sea did the Romans call mare nostrum ?,LOCATION,LOC,other
296,What 's the term for a bet before cards are dealt ?,ENTITY,ENTY,termeq
297,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",ENTITY,ENTY,animal
298,What city did the Flintstones live in ?,LOCATION,LOC,city
299,What is Latin for incompetent ?,ENTITY,ENTY,termeq
300,What chemicals are used in lethal injection ?,ENTITY,ENTY,dismed
301,What toy company is the world 's No.1 maker of female apparel ?,HUMAN,HUM,gr
302,What board game does a `` wood-pusher '' play poorly ?,ENTITY,ENTY,sport
303,Which Doonesbury character was likely to turn into a werewolf ?,HUMAN,HUM,ind
304,What is the abbreviation for micro ?,ABBREVIATION,ABBR,abb
305,What are the 7 articles of the constitution ?,ENTITY,ENTY,other
306,Who has won the most Super Bowls ?,HUMAN,HUM,gr
307,What does NASDAQ stand for ?,ABBREVIATION,ABBR,exp
308,What is BPH ?,ABBREVIATION,ABBR,exp
309,What is the fastest commercial automobile that can be bought in the US ?,ENTITY,ENTY,other
310,What stadium do the Miami Dolphins play their home games in ?,LOCATION,LOC,other
311,Who has the only speaking role in `` Silent Movie '' ?,HUMAN,HUM,ind
312,Why is poop sometimes different colors ?,DESCRIPTION,DESC,reason
313,What was Einstein 's IQ ?,NUMERIC,NUM,other
314,What day was Pearl Harbor attacked in 1942 ?,NUMERIC,NUM,date
315,What girl 's name is `` Teddy '' an affectionate form of ?,HUMAN,HUM,ind
316,What state is John F. Kennedy buried in ?,LOCATION,LOC,state
317,What is the best way to remove wallpaper ?,ENTITY,ENTY,techmeth
318,What U.S. state has an element named for it ?,LOCATION,LOC,state
319,What company tabulates the ballots in voting for the Academy Awards ?,HUMAN,HUM,gr
320,How did the tradition of best man start ?,DESCRIPTION,DESC,manner
321,How many years ago did the ship Titanic sink ?,NUMERIC,NUM,count
322,What is the deepest area of the Arctic Ocean ?,LOCATION,LOC,other
323,What are Halloween 's colors ?,ENTITY,ENTY,color
324,How is silk screening done ?,DESCRIPTION,DESC,manner
325,"What is the latitude and longitude of El Paso , Texas ?",NUMERIC,NUM,other
326,Who made a boat out of gopher wood ?,HUMAN,HUM,ind
327,Where can I find a `` Fifth Element '' screensaver ?,LOCATION,LOC,other
328,Which Bloom County resident wreaks havoc with a computer ?,HUMAN,HUM,ind
329,How do you match a name to a social security number ?,DESCRIPTION,DESC,manner
330,How does a rainbow form ?,DESCRIPTION,DESC,manner
331,What is the normal resting heart rate of a healthy adult ?,NUMERIC,NUM,other
332,What is the population of Ohio ?,NUMERIC,NUM,other
333,How many calories are there in a Big Mac ?,NUMERIC,NUM,count
334,Hazmat stands for what ?,DESCRIPTION,DESC,def
335,What creature scares people in the film `` Jaws '' ?,ENTITY,ENTY,animal
336,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,HUMAN,HUM,ind
337,Who followed Caesar ?,HUMAN,HUM,ind
338,What are the four elements ?,ENTITY,ENTY,substance
339,Who was the first woman golfer to earn a million ?,HUMAN,HUM,ind
340,What 's the tallest piece on a chessboard ?,ENTITY,ENTY,other
341,What is Answers.com 's address ?,LOCATION,LOC,other
342,Where can I buy movies on videotape online ?,LOCATION,LOC,other
343,Who does the advertizing for Frito-Lay ?,HUMAN,HUM,ind
344,Who is the leading competitor of Trans Union Company ?,HUMAN,HUM,gr
345,What product did Robert Conrad dare people to knock off his shoulder ?,ENTITY,ENTY,product
346,Who invented the radio ?,HUMAN,HUM,ind
347,What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUMERIC,NUM,count
348,What are the different approaches of systems analysis ?,ENTITY,ENTY,techmeth
349,How do doctors diagnose bone cancer ?,DESCRIPTION,DESC,manner
350,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,HUMAN,HUM,ind
351,What is the speed of the Mississippi River ?,NUMERIC,NUM,speed
352,What are the developmental stages of a swimmer ?,ENTITY,ENTY,other
353,What actor first portrayed James Bond ?,HUMAN,HUM,ind
354,What ocean is the largest in the world ?,LOCATION,LOC,other
355,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",HUMAN,HUM,ind
356,What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUMERIC,NUM,date
357,How many sonnets did Shakespeare write ?,NUMERIC,NUM,count
358,What causes the redness in your cheeks when you blush ?,DESCRIPTION,DESC,reason
359,Who won the Nobel Peace Prize in 1991 ?,HUMAN,HUM,ind
360,Who are the Challengers of the Unknown ?,HUMAN,HUM,gr
361,Define the Pheonix Club ?,DESCRIPTION,DESC,def
362,Which city did Christian Crusaders fight to recapture from the Muslims ?,LOCATION,LOC,city
363,What does it mean `` Rupee Depreciates '' ?,DESCRIPTION,DESC,def
364,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,ENTITY,ENTY,other
365,Who was the first coach of the Cleveland Browns ?,HUMAN,HUM,ind
366,How successful is arometherapy ?,DESCRIPTION,DESC,manner
367,What Jewish holiday saw the start of the 1973 Mideast War ?,ENTITY,ENTY,event
368,How does a copier work ?,DESCRIPTION,DESC,manner
369,What is the speed of the Mississippi River ?,NUMERIC,NUM,speed
370,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,HUMAN,HUM,ind
371,What is Dudley Do-Right 's horse 's name ?,ENTITY,ENTY,animal
372,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,HUMAN,HUM,ind
373,Where does chocolate come from ?,LOCATION,LOC,other
374,What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTITY,ENTY,cremat
375,What Soviet leader owned a Rolls-Royce ?,HUMAN,HUM,ind
376,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOCATION,LOC,other
377,What war did Florence Nightingale tend the troops in ?,ENTITY,ENTY,event
378,"Who wrote the song , `` Stardust '' ?",HUMAN,HUM,ind
379,How many Beatles ' records went #1 ?,NUMERIC,NUM,count
380,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,HUMAN,HUM,ind
381,What is the abbreviation of the company name ` General Motors ' ?,ABBREVIATION,ABBR,abb
382,What mountains lie between the Arkansas and Missouri rivers ?,LOCATION,LOC,mount
383,Who received the Will Rogers Award in 1989 ?,HUMAN,HUM,ind
384,What is the function of RAM ?,DESCRIPTION,DESC,reason
385,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,LOCATION,LOC,other
386,How many equal angles are there in an isosceles triangle ?,NUMERIC,NUM,count
387,What is the fear of cockroaches called ?,ENTITY,ENTY,dismed
388,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,ENTITY,ENTY,cremat
389,What is the use of a 24-hour clock instead of a 12-hour clock ?,DESCRIPTION,DESC,desc
390,What was the name of the lawyer who represented Randy Craft ?,HUMAN,HUM,ind
391,What United States President had dreamed that he was assassinated ?,HUMAN,HUM,ind
392,What film did Lee Marvin win the 1965 best actor Oscar for ?,ENTITY,ENTY,cremat
393,Where is Basque country located ?,LOCATION,LOC,other
394,What product does `` Mrs. Olsen '' promote ?,ENTITY,ENTY,product
395,What time of day did Emperor Hirohito die ?,NUMERIC,NUM,date
396,What is dry ice ?,DESCRIPTION,DESC,def
397,What 's the most powerful card in Euchre ?,ENTITY,ENTY,other
398,What does `` intractable plantar keratoma '' mean ?,DESCRIPTION,DESC,def
399,How many years did it take James Joyce to write Ulysses ?,NUMERIC,NUM,count
400,What crop failure caused the Irish Famine ?,ENTITY,ENTY,food
401,What South Korean city is served by Kimpo International Airport ?,LOCATION,LOC,city
402,How many types of dogs ' tails are there - three,NUMERIC,NUM,count
